LOGMSTAR,MU_DELTA,LOGMH,LOGMH_S,LOGMGAS,NAME,B_A,B_A_INNERDISK
9.21,8.88873,11.6079,11.6049,7.91068,rf0047 ,0.9,0.898896
8.99,8.20591,11.2669,11.1759,9.59503,rf0048 ,0.76,0.814107
8.67,7.94553,11.2669,11.1759,9.38004,rf0049 ,0.65,0.690708
9.99,8.41505,11.6079,11.6049,9.41524,rf0050 ,0.7,0.699408
8.35,7.90101,10.8799,10.8849,8.98366,rf0051 ,0.66,0.686558
9.07,8.66555,12.4029,12.4609,7.82005,rf0052 ,0.73,0.793
8.73,8.45996,10.9939,11.0049,9.28475,rf0053 ,0.79,0.798587
10.47,10.5142,12.4029,12.4609,8.93957,rf0054 ,0.91,0.875516
10.67,9.70506,12.4029,12.4609,9.68537,rf0055 ,0.66,0.716607
9.99,9.83878,11.3769,11.5529,8.52734,rf0056 ,0.77,0.765652
9.91,8.29661,11.6149,11.5119,9.96903,rf0057 ,0.43,0.432979
9.03,7.70629,11.0719,11.1209,9.3017,rf0058 ,0.84,0.906448
8.61,7.53237,10.9909,10.9549,9.29959,rf0059 ,0.51,0.509758
8.91,7.7825,11.0569,11.0799,9.27565,rf0060 ,0.33,0.363101
8.89,7.71376,11.0269,11.0659,8.94394,rf0061 ,0.76,0.777536
10.37,8.08569,11.7979,11.8439,10.109,rf0062 ,0.15,0.187268
9.85,8.69794,11.3989,11.4849,9.97857,rf0063 ,0.27,0.416948
8.33,7.71841,10.9019,10.8819,9.22513,rf0064 ,0.9,0.758369
9.05,7.6066,11.0699,11.1299,9.27546,rf0065 ,0.16,0.169635
8.77,8.29433,11.0109,11.0139,8.63688,rf0066 ,0.36,0.352212
8.27,7.34071,10.8046,10.8663,8.92114,rf0067 ,0.55,0.595515
8.27,7.20934,10.8659,10.8719,9.05635,rf0068 ,0.37,0.417381
7.55,7.89222,10.4069,10.7736,8.07051,rf0069 ,0.72,0.773927
8.25,8.21132,10.7955,10.8611,8.38716,rf0070 ,0.93,0.953758
10.19,8.86401,11.8969,11.7029,10.1174,rf0071 ,0.95,0.968402
8.57,7.48638,11.2639,11.1269,9.626,rf0072 ,0.56,0.579406
8.87,8.70402,11.2639,11.1269,9.41637,rf0073 ,0.58,0.648692
9.55,7.87638,11.5269,11.3399,9.86508,rf0074 ,0.89,0.892495
9.25,7.7958,11.1849,11.2119,9.43428,rf0075 ,0.85,0.93937
8.49,8.24874,10.8649,10.9149,8.57761,rf0076 ,0.45,0.456453
8.89,8.13234,11.0879,11.0659,8.84667,rf0077 ,0.86,0.865055
9.39,9.85995,11.0669,11.2719,8.07662,rf0078 ,0.9,0.884943
8.63,8.21234,11.7579,11.6909,8.59411,rf0079 ,0.92,0.935295
10.33,9.79921,11.5919,11.8129,8.86619,rf0080 ,0.86,0.866248
9.47,8.72087,11.7579,11.6909,8.10123,rf0081 ,0.83,0.860765
9.69,9.19127,11.7579,11.6909,8.28431,rf0082 ,0.8,0.799596
8.35,7.77331,11.7579,11.6909,9.07732,rf0083 ,0.55,0.557444
9.41,7.67714,11.7579,11.6909,9.68255,rf0084 ,0.3,0.316189
9.09,8.18196,11.7579,11.6909,8.38836,rf0085 ,0.91,0.882748
9.25,9.08948,11.7579,11.6909,8.34575,rf0086 ,0.79,0.807468
10.01,9.91343,12.3839,12.5229,8.72445,rf0087 ,0.72,0.839678
8.83,7.99133,11.0919,11.1109,7.5975,rf0088 ,0.9,0.903994
8.51,7.64278,11.0919,11.1109,9.05143,rf0089 ,0.76,0.718368
8.89,8.46334,12.8109,12.9989,7.62529,rf0090 ,0.79,0.7642
8.03,7.54989,12.8109,12.9989,8.69897,rf0091 ,0.41,0.399109
9.95,8.68826,12.3839,12.5229,8.67824,rf0092 ,0.56,0.580943
10.71,10.1893,12.3839,12.5229,9.29341,rf0093 ,0.43,0.486319
10.87,9.24442,12.8109,12.9989,9.13017,rf0094 ,0.57,0.567606
8.93,8.46526,11.7579,11.6909,7.61774,rf0095 ,0.92,0.89996
9.55,9.3107,12.3839,12.5229,8.02019,rf0096 ,0.81,0.805824
10.93,9.77016,12.8109,12.9989,9.21514,rf0097 ,0.7,0.732891
10.09,8.68429,12.3839,12.5229,9.45722,rf0098 ,0.31,0.345857
8.85,7.54884,11.1199,11.0519,9.59603,rf0099 ,0.48,0.513668
9.09,8.73818,12.8109,12.9989,7.69142,rf0100 ,0.95,0.978767
8.83,8.83304,12.8109,12.9989,7.82609,rf0101 ,0.78,0.796977
8.43,7.70715,10.9529,10.9019,9.56542,rf0102 ,0.74,0.710315
9.09,8.20792,11.0239,11.1459,8.48507,rf0103 ,0.92,0.941586
8.63,7.68064,10.9719,10.9659,8.90915,rf0104 ,0.38,0.383626
8.19,8.24994,10.8271,10.8463,8.56311,rf0105 ,0.68,0.702713
9.03,7.27173,11.1559,11.1209,9.58837,rf0106 ,0.85,0.784173
8.49,8.44564,11.0019,10.9149,8.91,rf0107 ,0.85,0.852804
8.73,8.46539,10.9079,11.0049,8.84881,rf0108 ,0.72,0.747096
9.35,8.23816,11.2149,11.2539,9.59151,rf0109 ,0.3,0.317628
8.15,6.89515,10.8347,10.837,9.00799,rf0110 ,0.63,0.614503
8.91,7.95024,12.4049,12.2269,8.76851,rf0111 ,0.58,0.592585
8.41,7.27573,12.4049,12.2269,8.77774,rf0112 ,0.84,0.913663
10.71,8.57663,12.4049,12.2269,8.60433,rf0113 ,0.85,0.596513
10.79,10.3592,12.3379,12.3919,8.53127,rf0114 ,0.83,0.789158
9.59,8.50219,12.3379,12.3919,8.00977,rf0115 ,0.28,0.304624
9.49,9.54053,12.3379,12.3919,8.03365,rf0116 ,0.95,0.978588
8.89,8.06203,11.0149,11.0659,9.03049,rf0117 ,0.51,0.496301
8.27,7.55849,10.8789,10.8719,9.34975,rf0118 ,0.6,0.610396
8.49,7.68792,10.9009,10.9149,8.62411,rf0119 ,0.74,0.718351
8.01,7.14674,10.7698,10.8083,8.95868,rf0120 ,0.26,0.25937
8.07,7.65671,10.7833,10.8198,8.32191,rf0121 ,0.93,0.917493
8.25,7.51105,10.8789,10.8719,9.55827,rf0122 ,0.45,0.487363
8.39,7.93567,10.8181,10.899,8.24607,rf0123 ,0.86,0.864723
10.39,9.54751,11.7729,11.8699,8.84025,rf0124 ,0.71,0.695013
10.25,8.59233,11.5739,11.7509,9.30443,rf0125 ,0.28,0.312234
9.83,8.91135,11.4579,11.4759,9.81288,rf0126 ,0.74,0.817089
9.63,9.4468,11.2819,11.3719,9.53649,rf0127 ,0.75,0.778104
9.05,7.82933,11.2149,11.1299,9.62496,rf0128 ,0.57,0.574914
9.39,8.26815,11.2149,11.2719,9.49888,rf0129 ,0.21,0.278243
10.43,10.3544,12.1979,12.1299,8.7716,rf0130 ,0.83,0.777123
8.97,8.60076,12.1979,12.1299,7.8939,rf0131 ,0.49,0.514511
10.19,10.1106,12.1979,12.1299,8.95247,rf0132 ,0.9,0.93504
10.45,9.65691,13.1479,13.3099,9.72893,rf0133 ,0.78,0.792238
9.51,7.95417,11.4089,11.3149,9.88689,rf0134 ,0.68,0.677089
9.11,9.03424,13.1479,13.3099,8.59397,rf0135 ,0.94,0.904517
8.57,7.9603,13.1479,13.3099,7.77804,rf0136 ,0.95,0.900595
8.59,8.136,13.1479,13.3099,8.1881,rf0137 ,0.4,0.407489
10.95,10.2755,13.1479,13.3099,9.13037,rf0138 ,0.7,0.878874
10.79,10.1195,12.0359,12.3099,9.34701,rf0139 ,0.32,0.32435
11.07,10.4579,13.1479,13.3099,9.07273,rf0140 ,0.82,0.845522
8.03,7.26789,10.792,10.8121,8.99206,rf0141 ,0.6,0.615557
8.87,8.10744,13.1479,13.3099,7.79389,rf0142 ,0.84,0.837082
8.61,8.54593,10.9459,10.9549,7.74036,rf0143 ,0.91,0.914134
10.51,9.39217,11.7779,11.9899,9.07342,rf0144 ,0.48,0.501826
9.69,8.57315,11.2709,11.4039,8.94059,rf0145 ,0.5,0.470751
8.65,7.97979,11.4969,11.5959,8.73667,rf0146 ,0.87,0.867473
9.91,8.22358,11.8379,11.7549,9.2907,rf0147 ,0.94,0.950539
11.03,9.76956,12.6239,12.6809,9.35124,rf0148 ,0.61,0.814658
10.03,9.34408,11.4969,11.5959,8.59902,rf0149 ,0.77,0.770222
10.01,8.93895,11.8379,11.7549,9.71023,rf0150 ,0.31,0.492129
8.91,7.8686,11.1289,11.2139,8.80135,rf0151 ,0.59,0.601369
9.01,7.70409,11.1289,11.2139,8.94023,rf0152 ,0.33,0.326481
9.39,9.79558,11.0399,11.2719,7.93288,rf0153 ,0.95,0.976094
8.97,9.04533,10.9989,11.1019,8.66683,rf0154 ,0.89,0.896729
8.85,7.6032,11.0619,11.0519,9.33454,rf0155 ,0.76,0.769162
9.31,8.23619,11.2599,11.2349,9.35816,rf0156 ,0.52,0.524548
8.37,8.09944,10.8829,10.8889,8.57184,rf0157 ,0.56,0.559839
10.11,9.39314,11.5519,11.6429,9.50242,rf0158 ,0.73,0.681578
9.55,7.50496,11.5459,11.6769,9.35658,rf0160 ,0.13,0.132832
10.05,9.61666,11.5459,11.6769,8.55513,rf0161 ,0.42,0.452741
8.19,8.62575,10.764,10.8463,8.3778,rf0162 ,0.72,0.837813
8.55,7.54439,10.9209,10.9349,9.23073,rf0163 ,0.67,0.625654
9.95,8.92204,11.5029,11.5389,9.43673,rf0164 ,0.41,0.498805
8.79,8.26136,11.0069,11.0249,7.78634,rf0165 ,0.89,0.816437
10.89,9.16717,12.3739,12.4679,9.49297,rf0166 ,0.91,0.910091
9.57,9.10616,11.1999,11.3479,8.19594,rf0167 ,0.61,0.663572
9.19,8.40335,11.4029,11.3849,8.09992,rf0168 ,0.5,0.499784
8.83,8.78771,10.9729,11.0439,9.41098,rf0169 ,0.75,0.765539
9.89,9.10542,11.2809,11.5079,8.43081,rf0170 ,0.31,0.354497
9.47,8.44706,11.4029,11.3849,8.24271,rf0171 ,0.84,0.781026
8.85,8.09359,11.2219,11.3509,8.09433,rf0172 ,0.34,0.28926
9.71,9.17418,11.2439,11.4129,8.48996,rf0173 ,0.6,0.500239
9.29,8.32089,11.2219,11.3509,8.72696,rf0174 ,0.3,0.315992
9.07,7.93835,11.2219,11.3509,8.97248,rf0175 ,0.26,0.302742
9.63,8.84818,11.3579,11.3719,8.87462,rf0176 ,0.41,0.478052
8.81,8.25702,11.0659,11.1109,8.85045,rf0177 ,0.53,0.579646
10.43,9.04961,11.7149,11.9089,9.14517,rf0178 ,0.4,0.528149
8.55,8.68911,11.0659,11.1109,8.43367,rf0179 ,0.73,0.72406
9.09,8.37064,11.2379,11.1459,9.53726,rf0180 ,0.56,0.585031
9.07,8.27179,11.1149,11.1389,8.7272,rf0181 ,0.87,0.74552
9.59,8.94671,12.1719,12.3219,8.39539,rf0182 ,0.72,0.742041
8.11,6.47264,10.8679,10.8639,9.29192,rf0183 ,0.14,0.13436
9.53,9.76713,12.1719,12.3219,8.15846,rf0184 ,0.92,0.93002
8.59,8.04945,12.1719,12.3219,7.72036,rf0185 ,0.9,0.872131
8.67,8.26263,10.8317,10.986,8.19312,rf0186 ,0.56,0.57768
9.09,8.65168,10.9129,11.1459,8.06472,rf0187 ,0.42,0.443238
9.97,9.66429,12.1719,12.3219,8.61079,rf0188 ,0.81,0.806978
9.05,8.27541,12.1719,12.3219,7.59581,rf0189 ,0.91,0.914305
9.75,9.39614,11.2629,11.4269,9.00622,rf0190 ,0.48,0.473815
9.61,8.99673,11.2799,11.4079,8.44293,rf0191 ,0.49,0.499119
8.97,7.53036,11.1249,11.1019,9.82751,rf0192 ,0.26,0.27548
9.83,9.29459,11.5419,11.4759,9.97483,rf0193 ,0.83,0.832063
9.23,8.49636,12.1719,12.3219,8.02671,rf0194 ,0.52,0.51381
9.07,9.0274,11.0799,11.1389,8.05559,rf0195 ,0.75,0.745886
10.63,9.61628,12.1719,12.3219,9.02346,rf0196 ,0.82,0.83758
8.69,8.93748,10.8739,10.9829,8.4619,rf0197 ,0.87,0.87026
9.57,9.21337,11.1879,11.3479,8.26504,rf0198 ,0.82,0.815933
8.85,7.91392,11.1019,11.0519,9.24478,rf0199 ,0.92,0.874461
10.23,9.4775,11.5989,11.7259,8.98879,rf0200 ,0.72,0.722771
9.23,9.08646,11.1729,11.2049,9.25399,rf0201 ,0.93,0.896817
9.11,8.89244,10.9409,11.1519,8.14811,rf0202 ,0.73,0.664499
8.83,8.3723,10.8709,11.0439,7.7539,rf0203 ,0.75,0.773167
8.75,8.11058,11.0799,11.0109,9.50115,rf0204 ,0.84,0.680504
9.97,9.67166,12.0639,12.0949,9.1369,rf0205 ,0.8,0.78076
9.73,8.32501,11.5519,11.4209,9.43849,rf0206 ,0.73,0.615
8.49,8.16928,10.9159,10.9149,8.72614,rf0207 ,0.93,0.954032
9.11,8.36129,11.0179,11.1519,8.09448,rf0208 ,0.54,0.542289
9.53,8.84673,12.0639,12.0949,8.2627,rf0209 ,0.89,0.90579
8.55,7.9796,11.1009,11.1899,8.59669,rf0210 ,0.4,0.404512
9.05,8.67734,11.3279,11.4239,7.96302,rf0211 ,0.49,0.509635
9.37,9.3759,12.0639,12.0949,8.00162,rf0212 ,0.9,0.914282
10.37,9.52258,11.6449,11.8439,9.15442,rf0213 ,0.26,0.27982
9.27,8.36812,11.0719,11.2199,8.2671,rf0214 ,0.91,0.834262
10.41,9.72655,12.0639,12.0949,9.1685,rf0215 ,0.77,0.803913
9.63,9.20506,11.3279,11.4239,8.27641,rf0216 ,0.93,0.933661
8.77,8.87547,11.1009,11.1899,7.6939,rf0217 ,0.73,0.731703
8.79,8.09574,11.1009,11.1899,7.75511,rf0218 ,0.66,0.653196
10.35,10.0016,11.6549,11.8279,8.83391,rf0219 ,0.95,0.909301
9.95,10.1109,11.3149,11.5389,8.52101,rf0220 ,0.68,0.8183
10.99,9.39625,12.4609,12.6009,9.31358,rf0221 ,0.66,0.66408
11.01,9.93275,12.3829,12.6389,9.3378,rf0222 ,0.46,0.50258
9.53,8.59966,11.2459,11.3309,9.40646,rf0223 ,0.28,0.27387
10.73,9.85145,11.9859,12.2329,9.25157,rf0224 ,0.56,0.558458
8.21,7.9497,10.9099,10.8679,8.95758,rf0225 ,0.48,0.505832
9.05,8.22418,11.0119,11.1299,8.31345,rf0226 ,0.33,0.293169
9.15,8.10905,11.1369,11.1659,9.04986,rf0227 ,0.64,0.604337
8.89,8.24711,10.8759,11.0659,7.92812,rf0228 ,0.57,0.572431
8.61,8.72595,11.3669,11.5519,7.91343,rf0229 ,0.95,0.984001
9.97,9.49665,11.3669,11.5519,8.67513,rf0230 ,0.38,0.444214
9.79,9.62824,11.2309,11.4539,8.44365,rf0231 ,0.64,0.642957
9.15,8.80695,12.4439,12.7729,7.92484,rf0232 ,0.58,0.601697
11.07,9.23774,12.4439,12.7729,9.40458,rf0233 ,0.26,0.282143
9.29,8.91737,12.4439,12.7729,8.92235,rf0234 ,0.45,0.445019
8.05,7.56346,10.7369,10.816,8.63453,rf0235 ,0.44,0.447326
8.57,8.50372,10.8899,10.9389,8.71827,rf0236 ,0.74,0.554654
10.05,8.44008,11.6709,11.5979,9.44488,rf0237 ,0.69,0.700358
9.19,7.94739,11.1269,11.1859,9.5438,rf0238 ,0.92,0.925364
9.81,8.61981,12.3499,12.2749,9.60192,rf0239 ,0.26,0.280198
7.91,7.62973,12.3499,12.2749,8.66461,rf0240 ,0.72,0.688848
8.05,8.32086,10.8351,10.816,9.36265,rf0241 ,0.7,0.715188
10.27,9.15404,12.3499,12.2749,9.95187,rf0242 ,0.33,0.315978
8.83,8.64534,12.3499,12.2749,8.26696,rf0243 ,0.84,0.797879
10.49,9.3166,12.3499,12.2749,9.25201,rf0244 ,0.25,0.304669
9.13,7.90499,12.3499,12.2749,8.76434,rf0245 ,0.21,0.224045
8.19,7.47557,10.8709,10.8659,8.92802,rf0246 ,0.95,0.950492
8.63,8.82755,10.8919,10.9659,8.7128,rf0247 ,0.69,0.681777
9.89,8.40707,11.4789,11.5079,9.0111,rf0248 ,0.89,0.895779
10.65,9.0956,12.1179,12.1509,9.91681,rf0249 ,0.65,0.614527
8.43,8.79073,10.9269,10.9019,9.62484,rf0250 ,0.72,0.703563
9.27,8.06462,11.2989,11.2199,9.50467,rf0251 ,0.36,0.358803
8.63,8.1769,11.1009,11.2459,7.99074,rf0252 ,0.52,0.52228
9.25,9.77685,11.1009,11.2459,8.07312,rf0253 ,0.7,0.70037
10.73,10.0295,12.0159,12.2329,8.96163,rf0254 ,0.56,0.581879
8.11,7.90521,10.8386,10.8281,8.83887,rf0255 ,0.61,0.625884
9.69,8.71889,11.4239,11.4039,9.67196,rf0256 ,0.48,0.510574
8.49,8.14739,10.8829,10.9149,8.26004,rf0257 ,0.61,0.690305
9.35,8.04996,11.3209,11.2539,9.4451,rf0258 ,0.4,0.43406
9.11,8.00835,11.1999,11.1519,9.66215,rf0259 ,0.69,0.734714
8.85,8.17138,10.9809,11.0519,8.73677,rf0260 ,0.91,0.925503
8.51,7.38369,10.9599,10.9209,9.03268,rf0261 ,0.65,0.659878
8.59,8.16442,11.1969,11.2139,8.73675,rf0262 ,0.64,0.639232
9.15,9.09308,11.1969,11.2139,9.15195,rf0263 ,0.65,0.649511
9.79,8.09293,11.4139,11.4539,9.57118,rf0264 ,0.21,0.248878
8.65,8.47438,10.9809,10.9699,8.57784,rf0265 ,0.41,0.454396
8.37,8.80197,10.9649,10.8889,8.83729,rf0266 ,0.86,0.942421
9.47,7.85799,12.2629,12.2179,9.93418,rf0267 ,0.43,0.442238
8.77,7.31351,12.2629,12.2179,9.71531,rf0268 ,0.27,0.287326
8.49,7.48905,10.9279,10.9149,9.00999,rf0269 ,0.79,0.722676
10.63,10.0335,12.2629,12.2179,9.49055,rf0270 ,0.66,0.639412
10.03,9.17791,12.3309,12.4989,9.21071,rf0271 ,0.32,0.373195
8.95,8.91014,12.2629,12.2179,8.63878,rf0272 ,0.68,0.679819
8.27,7.20202,10.8056,10.8663,9.00045,rf0273 ,0.36,0.344726
9.61,9.42299,12.2629,12.2179,8.14333,rf0274 ,0.92,0.859163
8.67,8.9964,12.3309,12.4989,7.44271,rf0275 ,0.95,0.990591
8.99,8.37196,12.3309,12.4989,8.93297,rf0276 ,0.68,0.752656
10.85,9.95992,12.3309,12.4989,10.3724,rf0277 ,0.78,0.785136
8.37,7.53063,10.8194,10.8934,8.4539,rf0278 ,0.45,0.462929
8.25,7.67124,10.8042,10.8611,8.74429,rf0279 ,0.51,0.508709
8.29,8.46482,10.8659,10.8739,8.68427,rf0280 ,0.55,0.610888
10.43,10.1862,11.7379,11.9119,8.74576,rf0281 ,0.94,0.956136
8.37,7.26943,10.8234,10.8934,8.5578,rf0282 ,0.19,0.193217
10.11,9.97433,11.4449,11.6429,9.66017,rf0283 ,0.73,0.705553
8.75,8.91655,10.9689,11.0109,9.33018,rf0284 ,0.74,0.735861
8.55,7.29859,10.9649,10.9349,9.35362,rf0285 ,0.8,0.947829
10.29,10.0284,11.6089,11.7759,9.24706,rf0286 ,0.78,0.767923
10.25,8.20837,11.7339,11.7509,10.2293,rf0287 ,0.2,0.624124
10.05,9.42483,11.4159,11.5979,8.64584,rf0288 ,0.47,0.490571
8.37,7.76153,11.7629,11.6749,8.50339,rf0289 ,0.95,0.922829
10.59,8.74233,12.5939,12.3919,10.395,rf0290 ,0.38,0.398278
9.07,8.06972,11.1019,11.1389,9.62,rf0291 ,0.41,0.411312
10.15,9.10695,11.7629,11.6749,9.52029,rf0292 ,0.81,0.812924
10.45,9.88507,11.7659,11.9259,9.10682,rf0293 ,0.88,0.907257
10.37,8.74696,12.8109,12.6619,9.92143,rf0294 ,0.73,0.714619
10.91,9.03718,12.8109,12.6619,9.70323,rf0295 ,0.94,0.859499
8.49,7.63177,10.9219,10.9149,9.30184,rf0296 ,0.8,0.796028
9.07,9.01425,11.0369,11.1389,8.17865,rf0297 ,0.63,0.641668
9.15,7.90292,11.1369,11.1659,9.37676,rf0298 ,0.29,0.297362
8.61,7.63774,10.9689,10.9549,9.43878,rf0299 ,0.26,0.263518
9.19,7.45563,11.1859,11.1859,9.70377,rf0300 ,0.21,0.230292
9.83,9.7075,11.2659,11.4759,8.36112,rf0301 ,0.58,0.559131
9.85,8.39784,11.6019,11.4849,10.1774,rf0302 ,0.77,0.78935
8.89,7.35548,11.1319,11.0659,9.65068,rf0303 ,0.29,0.295981
8.25,7.26456,10.8729,10.8719,8.98625,rf0304 ,0.86,0.768183
8.87,7.51108,11.1619,11.0539,9.28958,rf0305 ,0.83,0.838118
8.73,7.73167,11.0759,11.0049,9.3787,rf0306 ,0.33,0.325836
10.05,9.71494,12.3209,12.3909,8.95572,rf0307 ,0.35,0.401296
8.83,8.31704,10.9569,11.0439,8.70963,rf0308 ,0.58,0.575488
10.33,8.73726,12.3209,12.3909,9.30269,rf0309 ,0.18,0.257
10.57,10.1438,12.3209,12.3909,9.3514,rf0310 ,0.53,0.805297
8.39,8.30682,10.8395,10.899,8.48598,rf0311 ,0.74,0.812783
8.91,7.63414,11.4859,11.2269,9.94244,rf0312 ,0.29,0.355534
8.95,8.14144,11.4859,11.2269,9.72804,rf0313 ,0.58,0.512183
8.47,7.62245,11.0019,10.9109,9.3919,rf0314 ,0.72,0.812577
10.77,9.35661,12.3419,12.2929,10.3068,rf0315 ,0.79,0.76953
9.29,8.71537,11.2899,11.2269,9.49493,rf0316 ,0.64,0.730618
8.67,7.70285,11.0119,10.9799,8.92191,rf0317 ,0.4,0.411566
8.35,7.22813,10.9569,10.8849,9.50567,rf0318 ,0.41,0.4073
11.15,10.1074,12.7219,12.9089,9.92273,rf0319 ,0.95,0.904901
8.53,8.15828,10.9799,10.9279,8.98357,rf0320 ,0.9,0.944842
8.69,7.35141,11.0479,10.9829,9.89543,rf0321 ,0.53,0.513061
8.77,7.77087,10.9569,11.0139,8.66795,rf0322 ,0.64,0.662501
8.85,8.52545,10.9069,11.0519,8.57204,rf0323 ,0.8,0.80829
10.37,9.53457,11.7089,11.8439,9.11488,rf0324 ,0.81,0.810932
10.89,8.78704,12.4949,12.4679,10.2835,rf0325 ,0.45,0.461616
8.45,7.57158,10.9189,10.9089,8.86241,rf0326 ,0.61,0.605
10.89,9.92383,12.3619,12.4679,9.73772,rf0327 ,0.69,0.597547
8.99,9.0226,11.0179,11.1059,7.96255,rf0328 ,0.87,0.876218
10.39,8.28318,11.9709,11.8699,9.78728,rf0329 ,0.67,0.682352
10.17,10.127,11.7769,11.7379,9.10782,rf0330 ,0.78,0.841248
8.87,7.41122,11.0829,11.0539,9.39127,rf0331 ,0.81,0.581884
8.73,8.86917,10.9379,11.0049,8.60873,rf0332 ,0.74,0.739895
9.41,8.36112,11.7769,11.7379,8.70793,rf0333 ,0.29,0.292284
10.67,9.95962,11.9579,12.1679,9.13219,rf0334 ,0.85,0.856202
8.67,7.73262,11.0219,10.9799,9.15097,rf0335 ,0.43,0.466432
9.83,8.49174,13.3669,13.3639,8.61329,rf0336 ,0.49,0.494094
9.15,8.50938,13.3669,13.3639,7.85886,rf0337 ,0.69,0.666002
8.73,7.59452,12.7679,12.3219,9.0395,rf0338 ,0.41,0.439306
9.99,9.00595,11.6089,11.5529,9.31556,rf0339 ,0.52,0.537414
8.47,8.47617,13.3669,13.3639,8.95611,rf0340 ,0.8,0.801195
10.09,9.12603,12.7679,12.3219,9.99846,rf0341 ,0.86,0.862866
9.67,7.7704,11.4829,11.3899,10.0062,rf0342 ,0.53,0.542301
10.01,9.44127,11.6629,11.6319,8.92838,rf0343 ,0.45,0.630786
9.39,7.42856,11.6629,11.6319,9.28329,rf0344 ,0.83,0.832887
9.35,8.95606,13.3669,13.3639,7.95382,rf0345 ,0.48,0.494409
11.25,8.94664,13.3669,13.3639,9.27711,rf0346 ,0.7,0.621671
8.97,8.12578,12.7679,12.3219,7.9648,rf0347 ,0.36,0.356251
10.37,8.48189,12.7679,12.3219,9.82681,rf0348 ,0.65,0.677784
